model,dataset,phase,metric,root_mean_squared_error,mean_absolute_error,mean_squared_error,max_error,r2
TransE,FB15k237,training,results_min_hits_at_1,0.00862410735530676,0.004884974360429153,7.68775560992178e-05,0.050011620865777304,0.9973768838736925
TransE,FB15k237,testing,results_min_hits_at_1,0.23161271336502443,0.22831835309426426,0.05364444899230897,0.2813946103596178,-496.24203135064687
TransE,FB15k237,training,results_min_hits_at_10,0.01614083811200684,0.00869248989316785,0.00026433829097564655,0.08528790014203425,0.9922301110003622
TransE,FB15k237,testing,results_min_hits_at_10,0.20851190385431287,0.2057530513181019,0.04347721404895021,0.2652219205987717,-207.99758333323595
TransE,FB15k237,training,results_min_inverse_harmonic_mean_rank,0.009143180705826183,0.005433447264234894,8.591514192331813e-05,0.04409278802573682,0.9964242221433359
TransE,FB15k237,testing,results_min_inverse_harmonic_mean_rank,0.24917111554918528,0.24626396254758645,0.062086244824025444,0.3082439172267914,-703.2935805314128
TransE,FB15k,training,results_min_hits_at_1,0.00789197835949694,0.004564037509820099,6.700862488512237e-05,0.04581453193607807,0.9962235084001455
TransE,FB15k,testing,results_min_hits_at_1,0.26481294311683684,0.2569948421710509,0.07012589484220105,0.4140951765236399,-14.32844567987448
TransE,FB15k,training,results_min_hits_at_10,0.01470671472691841,0.008382773261946651,0.0002207295408522713,0.07626445006985584,0.9925398059551453
TransE,FB15k,testing,results_min_hits_at_10,0.22510966341692343,0.22244747459391975,0.050674360563680555,0.28073710235149396,-23.203390734109032
TransE,FB15k,training,results_min_inverse_harmonic_mean_rank,0.010056311656208232,0.005823501750276796,0.00010430543896826762,0.05217829249799251,0.9932415612556207
TransE,FB15k,testing,results_min_inverse_harmonic_mean_rank,0.264087056779312,0.2573579176086368,0.06974197355835957,0.3851922458410263,-15.523896544713892
TransE,Kinships,training,results_min_hits_at_1,0.00870422315159005,0.005171995843576956,7.790741082775852e-05,0.04548113431323797,0.9961434075376194
TransE,Kinships,testing,results_min_hits_at_1,0.2028994497929221,0.2027690187489176,0.04116818672627051,0.2174865279334285,-1322.653365880461
TransE,Kinships,training,results_min_hits_at_10,0.011682971356375173,0.006820767199256178,0.0001592061874306057,0.06385068506875247,0.9939752268872055
TransE,Kinships,testing,results_min_hits_at_10,0.29308588535929014,0.28498570219724495,0.08589933619683895,0.34090336531493304,-17.34478064686626
TransE,Kinships,training,results_min_inverse_harmonic_mean_rank,0.008378654672736503,0.005082565788804687,7.65600570688364e-05,0.04635402802377937,0.9967479818997319
TransE,Kinships,testing,results_min_inverse_harmonic_mean_rank,0.030663221670933567,0.02041508839889006,0.0009402331632408098,0.1170919540524483,-0.4540760860444162
TransE,WN18RR,training,results_min_hits_at_1,0.007586420249674747,0.0048738366870178735,6.118747136076003e-05,0.04043874608711928,0.9971588626769161
TransE,WN18RR,testing,results_min_hits_at_1,0.3363191885977692,0.33616354564891665,0.11311059661906185,0.3611770240206549,-1247.1437109828182
TransE,WN18RR,training,results_min_hits_at_10,0.013552938127693521,0.007440223033411169,0.0001927517048546526,0.0780574878879917,0.991669739224964
TransE,WN18RR,testing,results_min_hits_at_10,0.36532872379854997,0.359290169933847,0.1334650764322772,0.4627531831967884,-29.889493554171978
TransE,WN18RR,training,results_min_inverse_harmonic_mean_rank,0.00868937100359127,0.00547703223115446,7.942212267415539e-05,0.04167233515530824,0.9947834290744217
TransE,WN18RR,testing,results_min_inverse_harmonic_mean_rank,0.3609080198972393,0.3598436307726484,0.13025459882614607,0.4058865857124329,-219.17093263132057
TransE,WN18,training,results_min_hits_at_1,0.006876223989087634,0.004201549804582257,5.518629089451002e-05,0.03444322242021372,0.9977053423212996
TransE,WN18,testing,results_min_hits_at_1,0.20105200445690855,0.1844108511911897,0.040421908496140774,0.34552592281198347,-25.438339181538765
TransE,WN18,training,results_min_hits_at_10,0.013964334311095665,0.008026919408635143,0.00020400655581747688,0.07575474289131118,0.993334890746217
TransE,WN18,testing,results_min_hits_at_10,0.3412023204004782,0.33626369392840033,0.11641902344667057,0.4109380374630106,-28.327654157019555
TransE,WN18,training,results_min_inverse_harmonic_mean_rank,0.008755491093267419,0.005297468049364204,8.471391148243045e-05,0.04496952537447216,0.9950596817012983
TransE,WN18,testing,results_min_inverse_harmonic_mean_rank,0.2978268837346334,0.29077807970119246,0.08870085267508285,0.3904036968946457,-46.778290991815496
TransE,YAGO310,training,results_min_hits_at_1,0.00739469694426193,0.004599454156226686,5.674796833146784e-05,0.03930042053022634,0.9979820955279953
TransE,YAGO310,testing,results_min_hits_at_1,0.10863770716782109,0.09350431123292988,0.011802151418681246,0.18157201668023681,-4.216245232614752
TransE,YAGO310,training,results_min_hits_at_10,0.013622249409792122,0.007917057893356168,0.00018826686617957238,0.06784492871965535,0.9932092423690316
TransE,YAGO310,testing,results_min_hits_at_10,0.16070169855700825,0.13248284601674548,0.025825035919107543,0.2953416878218211,-2.877275444833865
TransE,YAGO310,training,results_min_inverse_harmonic_mean_rank,0.008883327684593106,0.005513625032199713,7.998252289831789e-05,0.04080302044749263,0.9967291952210822
TransE,YAGO310,testing,results_min_inverse_harmonic_mean_rank,0.07121208886863502,0.06309477644135254,0.005071161601034371,0.13615764915943146,-0.6029228725782088
ComplEx,FB15k237,training,results_min_hits_at_1,0.018809736277323026,0.011397814297014799,0.00035802057365154843,0.09446422574253326,0.993699311231268
ComplEx,FB15k237,testing,results_min_hits_at_1,0.3680771350415537,0.36147671143224425,0.13548077734039815,0.47248105763420345,-310.02390362884097
ComplEx,FB15k237,training,results_min_hits_at_10,0.014734333084230633,0.008738221164519925,0.00022267604158179204,0.06838900251854174,0.9964220439788499
ComplEx,FB15k237,testing,results_min_hits_at_10,0.24431386641100913,0.24341267014985143,0.05968926532069641,0.28099561284184926,-257.1575701028143
ComplEx,FB15k237,training,results_min_inverse_harmonic_mean_rank,0.01599628505796475,0.01003758471184129,0.0002595466118926058,0.06748122461140155,0.9955148690890587
ComplEx,FB15k237,testing,results_min_inverse_harmonic_mean_rank,0.33813850390982286,0.33638050367434813,0.11433764782637329,0.4018460893630982,-313.1358362039659
ComplEx,FB15k,training,results_min_hits_at_1,0.018745416421099857,0.01102296110416889,0.0003547584073854141,0.09558261413537808,0.994297195919804
ComplEx,FB15k,testing,results_min_hits_at_1,0.3651027225965226,0.3562496121678909,0.13329999804739331,0.4578730396795071,-12.858076886902424
ComplEx,FB15k,training,results_min_hits_at_10,0.014393266166300567,0.008898896686616583,0.00020942127584919705,0.06124231447256233,0.9963613206344013
ComplEx,FB15k,testing,results_min_hits_at_10,0.2774386417699188,0.27547856105942325,0.07697219994713733,0.31468243603615165,-48.177479085252735
ComplEx,FB15k,training,results_min_inverse_harmonic_mean_rank,0.01619620209086465,0.009965592415240788,0.0002659052551006026,0.0756441281735897,0.995547680142639
ComplEx,FB15k,testing,results_min_inverse_harmonic_mean_rank,0.3519201915293037,0.34591346297902287,0.12384782120602181,0.4280945107340813,-18.125806912126933
ComplEx,Kinships,training,results_min_hits_at_1,0.013442964733764919,0.008470302997517953,0.00018422756992050879,0.06252344301113918,0.9967967327051757
ComplEx,Kinships,testing,results_min_hits_at_1,0.27840923666297296,0.27204967325644147,0.07751170305925928,0.36488254793154185,-21.191489059088898
ComplEx,Kinships,training,results_min_hits_at_10,0.013690337547162807,0.008709380558958693,0.00019355289795630235,0.06410910722756791,0.9952143271497851
ComplEx,Kinships,testing,results_min_hits_at_10,0.42346027823542587,0.4170764146823735,0.1793186072432243,0.45509074018278095,-32.40208650985006
ComplEx,Kinships,training,results_min_inverse_harmonic_mean_rank,0.012840685553322653,0.008061760293707348,0.00017079548421158387,0.057072158865630614,0.9965736497751752
ComplEx,Kinships,testing,results_min_inverse_harmonic_mean_rank,0.3421200086504465,0.3366114887264041,0.1170461003189816,0.42265128284692766,-30.04132863339988
ComplEx,WN18RR,training,results_min_hits_at_1,0.018441133467335308,0.011125795650320387,0.00034490438166544853,0.09679720908900814,0.9947159792641892
ComplEx,WN18RR,testing,results_min_hits_at_1,0.4247497869298539,0.42084259954978254,0.18041238149695626,0.5226899388645148,-63.5793310235924
ComplEx,WN18RR,training,results_min_hits_at_10,0.012892316059797728,0.00791273479887063,0.00016650161459993263,0.06207448018467808,0.9970655885128998
ComplEx,WN18RR,testing,results_min_hits_at_10,0.30315117687264864,0.2933070051518982,0.0919006360392719,0.43389813271359806,-14.250820166515263
ComplEx,WN18RR,training,results_min_inverse_harmonic_mean_rank,0.015766320145015597,0.009726879968739197,0.00025149167998749514,0.07714293323457241,0.9959058735830244
ComplEx,WN18RR,testing,results_min_inverse_harmonic_mean_rank,0.3820148672553205,0.37668301988731734,0.14593535880410016,0.4815876805782318,-38.48910820020493
ComplEx,WN18,training,results_min_hits_at_1,0.018848838016995922,0.01110260293173202,0.0003633408171439486,0.09980458115083683,0.9917502294265166
ComplEx,WN18,testing,results_min_hits_at_1,0.41344108078743197,0.4106989373913692,0.17093352728267985,0.5028056297495247,-54.04498198722732
ComplEx,WN18,training,results_min_hits_at_10,0.01529526074204414,0.009037610881987592,0.00023498562901121692,0.07795208643872883,0.996015932764291
ComplEx,WN18,testing,results_min_hits_at_10,0.31898715313128406,0.31410464890385437,0.10175280386280128,0.40176391318330446,-29.107809596653336
ComplEx,WN18,training,results_min_inverse_harmonic_mean_rank,0.016593106296155163,0.010186224401547206,0.00028021139818488496,0.07666055090725424,0.9944009302336204
ComplEx,WN18,testing,results_min_inverse_harmonic_mean_rank,0.3560604492288601,0.3530358729820059,0.12677904350505767,0.4399390995502472,-39.587559459874576
ComplEx,YAGO310,training,results_min_hits_at_1,0.018727081349513765,0.010551276249244002,0.0003566540339494489,0.09594094784599383,0.991210726300325
ComplEx,YAGO310,testing,results_min_hits_at_1,0.3876365649934056,0.3864132505202063,0.15026210651988675,0.4667194755527609,-40.78382710103371
ComplEx,YAGO310,training,results_min_hits_at_10,0.013383587385365337,0.00751063452702171,0.00018264005474384192,0.07161538668422124,0.9945100187505063
ComplEx,YAGO310,testing,results_min_hits_at_10,0.30748107719052226,0.3052869753550676,0.0945446128302439,0.37145091223850213,-70.41702897638366
ComplEx,YAGO310,training,results_min_inverse_harmonic_mean_rank,0.01585891372749114,0.00914202109029229,0.0002573309694744782,0.07561936259269714,0.9929226222074456
ComplEx,YAGO310,testing,results_min_inverse_harmonic_mean_rank,0.35699740323492096,0.35578841495092456,0.12744714591647677,0.41654246509075166,-51.57056817644291
RotatE,FB15k237,training,results_min_hits_at_1,0.015133967831807649,0.008782748959443726,0.00023873532220770906,0.06850583385645503,0.9942040690190718
RotatE,FB15k237,testing,results_min_hits_at_1,0.42695581651016873,0.42586106193823875,0.18229126925186487,0.4881675040419413,-309.33933383524044
RotatE,FB15k237,training,results_min_hits_at_10,0.013944890652929318,0.007371400126686903,0.00021568313996328192,0.07156524948614384,0.9962066840317045
RotatE,FB15k237,testing,results_min_hits_at_10,0.2766827761040695,0.27539543713657716,0.07655335859265464,0.34423446392632256,-14.095830333281997
RotatE,FB15k237,training,results_min_inverse_harmonic_mean_rank,0.013710763938590947,0.008086475631788844,0.0002003012643691458,0.06416360035538674,0.9955403899861184
RotatE,FB15k237,testing,results_min_inverse_harmonic_mean_rank,0.40873089112078215,0.40763118400718223,0.16706094135638866,0.4715983957052231,-136.85589966448958
RotatE,FB15k,training,results_min_hits_at_1,0.015103980915360983,0.008653309609014255,0.00024358877461864707,0.07052681146865916,0.9958571421664724
RotatE,FB15k,testing,results_min_hits_at_1,0.43216511863409135,0.4301415647352411,0.18676668976401825,0.4830356023024802,-137.52099216707015
RotatE,FB15k,training,results_min_hits_at_10,0.013780985967014952,0.007719651428875994,0.00021108041130807483,0.06979570817252043,0.9960623752455191
RotatE,FB15k,testing,results_min_hits_at_10,0.31264531957710506,0.3116570295139204,0.09774709585347015,0.34609490459314285,-93.6263766893563
RotatE,FB15k,training,results_min_inverse_harmonic_mean_rank,0.01344084317632568,0.008001285549357404,0.00019139072803556358,0.06141151852905752,0.9964663041818871
RotatE,FB15k,testing,results_min_inverse_harmonic_mean_rank,0.4023139413103648,0.400344644700638,0.16185650737267965,0.4557985755801201,-138.57189382868913
RotatE,Kinships,training,results_min_hits_at_1,0.01058919760429896,0.0063283516737778185,0.00011883788946227139,0.04832236537186152,0.9977493501347913
RotatE,Kinships,testing,results_min_hits_at_1,0.366501945081205,0.36207088097783063,0.1343236757483066,0.4416312949254568,-40.285863565378584
RotatE,Kinships,training,results_min_hits_at_10,0.01235902927792644,0.0073104568352146005,0.00016078977070732218,0.06148017472694925,0.9962212663143646
RotatE,Kinships,testing,results_min_hits_at_10,0.5016071463276399,0.4961907572849003,0.2516097292469584,0.532111025920966,-45.846787846872104
RotatE,Kinships,training,results_min_inverse_harmonic_mean_rank,0.010507473220352366,0.006178368017102452,0.0001184124946538543,0.05176260430365801,0.9974211269297317
RotatE,Kinships,testing,results_min_inverse_harmonic_mean_rank,0.4850829312282762,0.48133839804867296,0.23530545016901658,0.5454687960445882,-61.778101073878524
RotatE,WN18RR,training,results_min_hits_at_1,0.014357158005811714,0.008090484355630579,0.00021409739883264818,0.07303108248694264,0.9963377329214764
RotatE,WN18RR,testing,results_min_hits_at_1,0.40311153845724584,0.39570352537141307,0.16249891243736758,0.5097607206458952,-55.83079345831166
RotatE,WN18RR,training,results_min_hits_at_10,0.01239726866184318,0.006417751517312423,0.00016268658676544395,0.07513810713642732,0.9962658965269582
RotatE,WN18RR,testing,results_min_hits_at_10,0.3873710409430335,0.3820848752747991,0.15005632336128932,0.49009436651041743,-35.70444003905776
RotatE,WN18RR,training,results_min_inverse_harmonic_mean_rank,0.01227683601524828,0.006842262859037461,0.00015884024261236725,0.06631769772619009,0.9969061001922992
RotatE,WN18RR,testing,results_min_inverse_harmonic_mean_rank,0.3671291822450852,0.3608078862576173,0.13478383645594497,0.4718461813777686,-40.82797905242402
RotatE,WN18,training,results_min_hits_at_1,0.014893925348525525,0.008579094974171041,0.00023084535327482406,0.07307386664866847,0.9939494209004749
RotatE,WN18,testing,results_min_hits_at_1,0.4573105266924392,0.45359898286301364,0.20913291782371618,0.5238891930121726,-57.75517607226382
RotatE,WN18,training,results_min_hits_at_10,0.013931431210163738,0.007499332532636069,0.0002078725817551432,0.07463877802843841,0.9963694610604847
RotatE,WN18,testing,results_min_hits_at_10,0.393551782749929,0.3871168676679342,0.15488300570564734,0.47150257914247046,-39.33559142351562
RotatE,WN18,training,results_min_inverse_harmonic_mean_rank,0.013388333365084173,0.007596599338951229,0.00018988879665987547,0.06948110776022076,0.9956785364895855
RotatE,WN18,testing,results_min_inverse_harmonic_mean_rank,0.4536763446292574,0.44938284120475397,0.20582222567616473,0.5449016311764717,-55.07459912783001
RotatE,YAGO310,training,results_min_hits_at_1,0.016640463604253364,0.009472463107577756,0.0002919790593298011,0.07685230499196853,0.9944777826944705
RotatE,YAGO310,testing,results_min_hits_at_1,0.3136539096153886,0.2978216702908187,0.09837877501701836,0.6011380459232019,-20.183299221809232
RotatE,YAGO310,training,results_min_hits_at_10,0.01489599086015729,0.0076879370241261374,0.00024378076060914509,0.08023666382187722,0.9951977090245632
RotatE,YAGO310,testing,results_min_hits_at_10,0.16971800625717678,0.12905418080753403,0.028804201647911094,0.43255444869142357,-0.3607330669065101
RotatE,YAGO310,training,results_min_inverse_harmonic_mean_rank,0.014829970664000224,0.008432436683183952,0.00023786238857748516,0.07064940333366398,0.9951899182134433
RotatE,YAGO310,testing,results_min_inverse_harmonic_mean_rank,0.20809596276185172,0.17093563781392695,0.04330392971778198,0.528660547733307,-4.105833228211782
