dataset,c_split,model,property,value,testing_entities,testing_min_entities,testing_triples,testing_min_triples,results_hits_at_10,results_hits_at_5,results_hits_at_3,results_hits_at_1,results_inverse_harmonic_mean_rank,results_arithmetic_mean_rank,results_min_hits_at_10,results_min_hits_at_5,results_min_hits_at_3,results_min_hits_at_1,results_min_arithmetic_mean_rank,results_min_inverse_harmonic_mean_rank,training_cpu_energy,training_gpu_energy,training_ram_energy,training_duration,prediction_cpu_energy,prediction_gpu_energy,prediction_ram_energy,prediction_duration,evaluation_cpu_energy,evaluation_gpu_energy,evaluation_ram_energy,evaluation_duration,evaluation_min_cpu_energy,evaluation_min_gpu_energy,evaluation_min_ram_energy,evaluation_min_duration,directed,information_loss,original_average_pagerank,original_average_degree,original_average_betweenness,original_average_harmonic_centrality,average_harmonic_centrality,average_betweenness,average_pagerank,n_relationships,order,size,density,diameter,transitivity_undirected,connected_components_weak,connected_components_weak_relative_nodes,connected_components_weak_relative_arcs,girth,vertex_connectivity,edge_connectivity,clique_number,average_degree,max_degree,degree_deciles,average_indegree,indegree_deciles,average_outdegree,outdegree_deciles,radius,average_path_length,assortativity_degree,mean_eccentricity,min_eccentricity,max_eccentricity,eccentricity_deciles,centralization,motifs_randesu_no,num_farthest_points,mincut_value,len_feedback_arc_set,mean_authority_score,min_authority_score,max_authority_score,mean_hub_score,min_hub_score,max_hub_score,min_closeness,max_closeness,mean_closeness,min_constraint,max_constraint,mean_constraint,max_coreness,min_coreness,mean_coreness,max_strength,min_strength,mean_strength,entropy
FB15k237,0,ComplEx,random,0.03,11309,8737,29349,19248,0.5308017308937272,0.4486183515622338,0.3811884561654571,0.2404511226958329,0.33743882179260254,568.774169921875,0.5304706982543641,0.4441500415627598,0.37393495428096424,0.22771197007481297,555.2247314453125,0.32839298248291016,0.07244322665259051,0.09666046816164453,0.0016822246656762153,3746.4161915779114,0.07244322665259051,0.09666046816164453,0.0016822246656762153,0.018506765365600586,0.07244322665259051,0.09666046816164453,0.0016822246656762153,1.8532793521881104,0.07244322665259051,0.09666046816164453,0.0016822246656762153,1.4512114524841309,True,0.9717639524958284,6.894174422612891e-05,31.864046880386073,13416.862599103757,0.3743733892961064,0.374284377468066,33338.985989616696,7.111869710546903e-05,237,14061,218401,0.001104722230905515,16,0.01517724690612892,6,0.9992176943318398,0.999967948864703,3,0,0,20,31.064789133063083,5875,"[1.0, 4.0, 7.0, 10.0, 14.0, 19.0, 25.0, 30.0, 38.0, 54.0, 5875.0]",15.532394566531542,"[0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 12.0, 17.0, 24.0, 4768.0]",15.532394566531542,"[0.0, 1.0, 3.0, 5.0, 8.0, 11.0, 14.0, 17.0, 22.0, 31.0, 1107.0]",0,4.049094065592487,-0.1314995910504209,7.857975961880379,0.0,16.0,"[0.0, 2.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 10.0, 16.0]",0.025795697142528835,58859150,3,0.0,44927,0.0023011013858570068,0.0,1.0,0.12258681448764994,1.1532206158574317e-17,1.0,0.18668030880848294,1.0,0.35746890724274283,0.0004666556973816264,1.0,0.13932700738163004,50,1,16.388236967498756,5875.0,1.0,31.064789133063083,6.563430026459393
FB15k237,0,ComplEx,random,0.05,11037,8737,28193,19248,0.5334302841130777,0.45342815592522967,0.3864079736104707,0.24344695491788743,0.3408132791519165,572.7720336914062,0.5315097672485453,0.44789068994181214,0.37985764754779716,0.23023171238570242,578.15673828125,0.3314087986946106,0.06606613006091731,0.0899175924895701,0.0016430095499187854,3634.1040828227997,0.06606613006091731,0.0899175924895701,0.0016430095499187854,0.0261838436126709,0.06606613006091731,0.0899175924895701,0.0016430095499187854,1.7938508987426758,0.06606613006091731,0.0899175924895701,0.0016430095499187854,1.4163599014282227,True,0.952714654430493,6.894174422612891e-05,31.864046880386073,13416.862599103757,0.3743733892961064,0.37411030509623605,32572.542944339493,7.266385699752942e-05,237,13762,209793,0.001107795113079187,16,0.015046538196456238,6,0.9992006975730272,0.9999666337771042,3,0,0,20,30.488737102165384,5757,"[1.0, 4.0, 7.0, 10.0, 14.0, 19.0, 24.0, 30.0, 37.0, 53.0, 5757.0]",15.244368551082692,"[0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 12.0, 16.0, 24.0, 4671.0]",15.244368551082692,"[0.0, 1.0, 3.0, 5.0, 8.0, 11.0, 14.0, 17.0, 21.0, 30.0, 1086.0]",0,4.0590677385403025,-0.13117142934375114,7.873710216538294,0.0,16.0,"[0.0, 2.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 10.0, 16.0]",0.02633392176646096,56143563,3,0.0,42868,0.0023041764834372336,0.0,0.9999999999999999,0.12363809743095756,1.4437131996479038e-17,1.0,0.18666847678522944,1.0,0.3572823517572677,0.0004777040990881888,1.0,0.14116015216326974,48,1,16.097224240662694,5757.0,1.0,30.488737102165384,6.564404687195093
FB15k237,0,ComplEx,random,0.1,10172,8737,24491,19248,0.5416887836348047,0.4624964272589931,0.3924094565350537,0.2487240210689641,0.3469339609146118,549.2210083007812,0.5412510390689942,0.46022963424771407,0.38902743142144636,0.242310889443059,539.174072265625,0.3424253463745117,0.02805333207542547,0.07217303107170636,0.0012903658351154027,2896.7836287021637,0.02805333207542547,0.07217303107170636,0.0012903658351154027,0.025337934494018555,0.02805333207542547,0.07217303107170636,0.0012903658351154027,1.4889018535614014,0.02805333207542547,0.07217303107170636,0.0012903658351154027,1.2387850284576416,True,0.8780114140293356,6.894174422612891e-05,31.864046880386073,13416.862599103757,0.3743733892961064,0.35672983727605667,30909.466646053963,7.729767334003248e-05,236,12937,180383,0.001077859168993126,15,0.016923697270625777,7,0.9987632372265595,0.9999279311243299,3,0,0,19,27.886372420190153,5442,"[1.0, 3.0, 6.0, 9.0, 13.0, 17.0, 22.0, 28.0, 35.0, 50.0, 5442.0]",13.943186210095076,"[0.0, 1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 11.0, 15.0, 22.0, 4420.0]",13.943186210095076,"[0.0, 1.0, 3.0, 5.0, 7.0, 10.0, 13.0, 16.0, 20.0, 28.0, 1022.0]",0,4.103058884214886,-0.11309068762512559,7.717863492308881,0.0,15.0,"[0.0, 2.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 10.0, 15.0]",0.02909177074540485,39747226,3,0.0,37013,0.002241503973192533,0.0,1.0,0.10477697405060016,0.0,1.0,0.1646594022812719,1.0,0.3397928473159961,0.0,1.0,0.16098719782438706,42,1,14.736337636237149,5442.0,1.0,27.886372420190153,6.550707916030351
FB15k237,0,ComplEx,random,0.15,9424,8737,21757,19248,0.5481454244610929,0.46442524245070554,0.39486142390954637,0.2500574527738199,0.34938469529151917,511.94866943359375,0.5479270573566085,0.4622298420615129,0.3928200332502078,0.24755818786367415,509.1118469238281,0.34736374020576477,0.021681393301489653,0.0684147394539707,0.0010640639570925917,2530.9998695850372,0.021681393301489653,0.0684147394539707,0.0010640639570925917,0.01566600799560547,0.021681393301489653,0.0684147394539707,0.0010640639570925917,1.2276501655578613,0.021681393301489653,0.0684147394539707,0.0010640639570925917,1.0790882110595703,True,0.8273605454312143,6.894174422612891e-05,31.864046880386073,13416.862599103757,0.3743733892961064,0.34951469038656646,29437.674378538148,8.204118467470669e-05,236,12189,160459,0.0010800989868492584,18,0.017749719517041157,10,0.9981950939371564,0.9998878218111792,3,0,0,19,26.328492903437525,5112,"[1.0, 3.0, 6.0, 9.0, 12.0, 16.0, 21.0, 26.0, 33.0, 47.0, 5112.0]",13.164246451718762,"[0.0, 1.0, 2.0, 3.0, 4.0, 6.0, 8.0, 11.0, 15.0, 21.0, 4144.0]",13.164246451718762,"[0.0, 1.0, 3.0, 4.0, 6.0, 9.0, 12.0, 15.0, 19.0, 27.0, 968.0]",0,4.168734791703682,-0.10789163148817552,8.159488063007629,0.0,18.0,"[0.0, 2.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 18.0]",0.030779088824254022,31787965,3,0.0,33145,0.0022260366829467888,0.0,1.0,0.1017563518169505,3.469793886914928e-17,0.9999999999999999,0.14711359404096835,1.0,0.33305791316714456,0.0,1.0,0.1691918521034517,42,1,13.972188038395274,5112.0,1.0,26.328492903437525,6.551705677551755
FB15k237,0,ComplEx,random,0.2,8737,8737,19248,19248,0.5556940980881131,0.47459476309226933,0.40391209476309226,0.2552213216957606,0.3559456169605255,553.7853393554688,0.5556940980881131,0.47459476309226933,0.40391209476309226,0.2552213216957606,553.7853393554688,0.3559456169605255,0.01589833076643222,0.05881648705315001,0.001031314766028795,2338.9928069114685,0.01589833076643222,0.05881648705315001,0.001031314766028795,0.01867961883544922,0.01589833076643222,0.05881648705315001,0.001031314766028795,1.051419734954834,0.01589833076643222,0.05881648705315001,0.001031314766028795,0.9235765933990479,True,0.7792399812414947,6.894174422612891e-05,31.864046880386073,13416.862599103757,0.3743733892961064,0.34894061516928276,27632.735514834163,8.726003490401394e-05,236,11460,141958,0.0010810070717256317,18,0.01770699473098872,9,0.9981675392670157,0.9998802462700235,3,0,0,18,24.774520069808027,4804,"[1.0, 3.0, 6.0, 8.0, 12.0, 15.0, 20.0, 24.0, 31.0, 44.0, 4804.0]",12.387260034904013,"[0.0, 1.0, 2.0, 3.0, 4.0, 6.0, 8.0, 10.0, 14.0, 20.0, 3899.0]",12.387260034904013,"[0.0, 1.0, 2.0, 4.0, 6.0, 8.0, 11.0, 14.0, 17.0, 25.0, 905.0]",0,4.196346125430781,-0.1091294219862772,8.30671902268761,0.0,18.0,"[0.0, 1.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 18.0]",0.03276068809592821,27202977,3,0.0,29029,0.0022253071792067316,0.0,1.0,0.10770706774508818,0.0,0.9999999999999999,0.14532010316482233,1.0,0.3324472038638069,0.0007057408978857566,1.0030864197530867,0.17532956704618632,39,1,13.148865619546248,4804.0,1.0,24.774520069808027,6.549526687970772
FB15k,0,ComplEx,random,0.01,13324,10452,58361,38573,0.7328095817412313,0.6511283219958534,0.5849454258837237,0.4228594438066517,0.5280752182006836,169.46258544921875,0.7209058149482799,0.6354574443263422,0.5647343997096415,0.39084333601223653,170.1710968017578,0.5034288167953491,0.07241850265975575,0.5767012063605925,0.004558266923380576,10527.75663638115,0.07241850265975575,0.5767012063605925,0.004558266923380576,0.01689457893371582,0.07241850265975575,0.5767012063605925,0.004558266923380576,6.713860034942627,0.07241850265975575,0.5767012063605925,0.004558266923380576,6.141912937164307,True,0.9925594700178255,6.68851581833991e-05,51.97364724767574,13227.494415089295,0.38346699778809296,0.3835419335526267,30176.090270270262,6.756756756756756e-05,1345,14800,383106,0.0017491411947118413,9,0.01708429377663295,9,0.9987837837837837,0.999945184883557,3,0,0,24,51.77108108108108,7410,"[1.0, 7.0, 12.0, 17.0, 24.600000000000364, 33.0, 42.0, 52.0, 63.0, 88.0, 7410.0]",25.88554054054054,"[0.0, 3.0, 5.0, 8.0, 11.0, 15.0, 19.0, 24.0, 29.0, 43.0, 5959.0]",25.88554054054054,"[0.0, 3.0, 6.0, 9.0, 13.0, 18.0, 22.0, 27.0, 34.0, 47.0, 3442.0]",0,3.0707012447942703,-0.0991353105167669,5.972027027027027,0.0,9.0,"[0.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 9.0]",0.01759290650949765,80892685,3,0.0,163499,0.0038502310871718517,0.0,1.0,0.09702419896979972,5.5751662284264524e-18,0.9999999999999999,0.1697482658826772,1.0,0.3677162365778437,0.0,1.0,0.12515701570373805,64,1,27.029797297297296,7410.0,1.0,51.77108108108108,7.627701078042597
FB15k,0,ComplEx,random,0.03,13012,10452,56259,38573,0.7336692795819335,0.6517001724168577,0.586039567002613,0.42394994578645195,0.5293740630149841,177.03802490234375,0.725092681409276,0.6391258133927877,0.5692971767816867,0.3981800741451274,178.1461944580078,0.5091447234153748,0.03135818007957955,0.5435664276305658,0.004424708098775886,10077.701165437698,0.03135818007957955,0.5435664276305658,0.004424708098775886,0.015768051147460938,0.03135818007957955,0.5435664276305658,0.004424708098775886,6.456669092178345,0.03135818007957955,0.5435664276305658,0.004424708098775886,5.981961727142334,True,0.9735704480027785,6.68851581833991e-05,51.97364724767574,13227.494415089295,0.38346699778809296,0.38360666487452316,29571.623447419217,6.900358818658572e-05,1339,14492,368926,0.001756760594529316,8,0.016957827854328016,9,0.9987579354126415,0.9999430780156454,3,0,0,24,50.91443555064863,7264,"[1.0, 7.0, 11.0, 17.0, 24.0, 32.0, 41.0, 51.0, 62.0, 87.0, 7264.0]",25.457217775324317,"[0.0, 3.0, 5.0, 8.0, 11.0, 15.0, 19.0, 23.0, 29.0, 42.0, 5838.0]",25.457217775324317,"[0.0, 3.0, 6.0, 9.0, 13.0, 17.0, 22.0, 27.0, 33.0, 46.0, 3373.0]",0,3.072457737120212,-0.10036621669223857,5.813345293955286,0.0,8.0,"[0.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 8.0]",0.01793297543814307,77389036,3,0.0,157185,0.003870681422844133,0.0,1.0,0.09815989536784153,1.252890782299303e-18,0.9999999999999999,0.1894446116994123,1.0,0.36784840059578444,0.0,1.0,0.12689283508922583,64,1,26.576869997239857,7264.0,1.0,50.91443555064863,7.621478334531012
FB15k,0,ComplEx,random,0.05,12700,10452,53777,38573,0.7387730814288637,0.6578834817858936,0.5919445115941759,0.43100210127005967,0.5352804064750671,180.19851684570312,0.7266611360277915,0.6416016384517668,0.572472973323309,0.40204287973452935,190.00674438476562,0.512457013130188,0.02567983885329909,0.5323037138981874,0.00435253839089921,9705.654633760452,0.02567983885329909,0.5323037138981874,0.00435253839089921,0.020731687545776367,0.02567983885329909,0.5323037138981874,0.00435253839089921,6.29220175743103,0.02567983885329909,0.5323037138981874,0.00435253839089921,6.1668009757995605,True,0.9507971363803904,6.68851581833991e-05,51.97364724767574,13227.494415089295,0.38346699778809296,0.38292941659956464,29155.311874206694,7.051191651389087e-05,1329,14182,351505,0.001747781624301192,8,0.01702467235108324,9,0.99873078550275,0.99994025689535,3,0,0,24,49.570582428430406,7120,"[1.0, 7.0, 11.0, 16.0, 23.0, 31.0, 41.0, 50.0, 60.0, 85.0, 7120.0]",24.785291214215203,"[0.0, 3.0, 5.0, 8.0, 11.0, 14.0, 18.0, 23.0, 28.0, 41.0, 5726.0]",24.785291214215203,"[0.0, 3.0, 6.0, 9.0, 12.0, 17.0, 21.0, 26.0, 32.0, 45.0, 3311.0]",0,3.0892493380255845,-0.09578132170708227,5.846213510083204,0.0,8.0,"[0.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 8.0]",0.018508138695729544,70817115,3,0.0,149798,0.003743374772419176,0.0,1.0,0.10232474585282737,0.0,1.0,0.18933732604307313,1.0,0.3671932271438421,0.0,1.0,0.12905392624417744,62,1,25.89782823297137,7120.0,1.0,49.570582428430406,7.638168216460146
FB15k,0,ComplEx,random,0.1,11923,10452,48379,38573,0.7444552388432998,0.6645548688480539,0.599619669691395,0.43745220033485605,0.5415217280387878,194.59066772460938,0.7397661576750577,0.6548362844476706,0.5860576050605346,0.41357944676328,193.05059814453125,0.524121880531311,0.03966747158728521,0.4876799320880778,0.003818804548944372,8699.233362436295,0.03966747158728521,0.4876799320880778,0.003818804548944372,0.016422510147094727,0.03966747158728521,0.4876799320880778,0.003818804548944372,5.455984115600586,0.03966747158728521,0.4876799320880778,0.003818804548944372,5.55201530456543,True,0.9015673239779283,6.68851581833991e-05,51.97364724767574,13227.494415089295,0.38346699778809296,0.3810842694374745,27852.223845007433,7.451564828614008e-05,1297,13420,315900,0.001754191317802493,8,0.016483566456605283,9,0.9986587183308495,0.9999335232668566,3,0,0,22,47.07898658718331,6741,"[1.0, 7.0, 11.0, 16.0, 22.0, 30.0, 38.0, 47.0, 57.0, 81.0, 6741.0]",23.539493293591654,"[0.0, 3.0, 5.0, 7.0, 10.0, 14.0, 17.0, 21.0, 27.0, 39.0, 5417.0]",23.539493293591654,"[0.0, 3.0, 6.0, 8.0, 12.0, 16.0, 20.0, 25.0, 31.0, 43.0, 3131.0]",0,3.110506781292617,-0.09589297860724269,5.8431445603576755,0.0,8.0,"[0.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 8.0]",0.01958503156653439,61329952,3,0.0,134494,0.003670543123530949,0.0,0.9999999999999999,0.1067347612878871,0.0,1.0,0.18915943256404827,1.0,0.3653190194318589,0.0,1.0,0.1343591534177706,61,1,24.645901639344263,6741.0,1.0,47.07898658718331,7.637896113204713
